Date,Open,High,Low,Close,Volume_n,Volume_m,return,PE
1998/1/3,12.84,12.84,12.6,12.6,1624,62200,-1.81,26.76
1998/1/5,12.6,12.7,12.44,12.44,4952,187464,-1.32,26.41
1998/1/6,12.44,12.44,12.21,12.24,3408,126192,-1.6,25.99
1998/1/7,12.27,12.4,12.01,12.01,3207,117772,-1.9,25.49
1998/1/8,11.97,12.11,11.87,11.87,3072,110927,-1.11,25.21
1998/1/9,11.87,11.91,11.61,11.77,3892,137463,-0.84,25
1998/1/12,11.61,11.67,11.11,11.11,2892,99120,-5.63,23.59
1998/1/13,11.28,11.38,11.11,11.34,3604,121966,2.09,24.08
1998/1/14,11.51,11.64,11.38,11.58,2606,90755,2.05,24.58
1998/1/15,11.64,11.64,11.28,11.28,2899,100153,-2.58,23.94
1998/1/16,11.28,11.44,11.21,11.28,3065,104470,0,23.94
1998/1/17,11.31,11.44,11.28,11.28,1522,51980,0,23.94
1998/1/19,11.41,11.48,11.31,11.31,2204,75370,0.29,24.01
1998/1/20,11.34,11.48,11.28,11.38,2542,86929,0.59,24.15
1998/1/21,11.41,11.48,11.34,11.48,3390,116624,0.87,24.37
1998/1/22,11.54,11.58,11.28,11.34,3479,119498,-1.16,24.08
1998/2/2,11.51,11.71,11.44,11.67,4841,168455,2.92,24.79
1998/2/3,11.77,11.81,11.44,11.48,4826,168190,-1.7,24.37
1998/2/4,11.48,11.61,11.48,11.54,3080,107126,0.58,24.51
1998/2/5,11.54,11.54,11.31,11.38,2671,91840,-1.44,24.15
1998/2/6,11.41,11.44,11.28,11.28,3389,116100,-0.87,23.94
1998/2/7,11.28,11.34,11.21,11.28,2699,91807,0,23.94
1998/2/9,11.28,11.54,11.28,11.31,3572,122509,0.29,24.01
1998/2/10,11.31,11.51,11.28,11.34,3097,106095,0.29,24.08
1998/2/11,11.34,11.34,11.18,11.28,3302,112273,-0.58,23.94
1998/2/12,11.28,11.28,11.18,11.18,3157,106885,-0.88,23.73
